aubergine;gb;purple egg-shaped fruit eaten as a vegetable;aubergine;Aubergine is the main ingredient of many Indian dishes.
courgette;gb;kind of squash;courgette;Kids are usually not very fond of courgettes.
eggplant;us;purple egg-shaped fruit eaten as a vegetable;eggplant;Eggplant is the main ingredient of many Indian dishes.
zucchini;us;kind of squash;zucchini;Kids are usually not very fond of zucchinis.
aluminum;us;a light silvery-grey metal;aluminum;It is well suited for engines with aluminum cooling system components.
crisps;gb;a thin slice of potatoe fried or baked until crisp;crisps;Crisps production is a determining factor of growth in demand for potatoes.
soccer;us;football;soccer;You are very good at sitting on the bleachers and watching a soccer game.
vacation;us;holiday;vacation;He goes on vacation to spain every summer.
maize;gb;corn;maize;The variaties concerned are wheat, baley and maize.
mobile phone;gb;cell phone;mobile phone;There are plenty of options to customise a mobile phone.
motorway;gb;a road designed for fast traffic;motorway;If you are currently driving on a motorway, the alternative route will begin at the next exit.
highway;us;a road designed for fast traffic;highway;If you are currently driving on a highway, the alternative route will begin at the next exit.
pavement;gb;a path for pedestrians at the side of a road;pavement;People stood on the pavement to watch the parade.
sidewalk;us;a path for pedestrians at the side of a road;sidewalk;People stood on the sidewalk to watch the parade.
petrol;gb;fuel used in internal combustion engines;petrol;My small car does not consume much petrol.
sweet;gb;a small piece of confectionery made with sugar;sweet;Children love eating sweets.
candy;us;a small piece of confectionery made with sugar;candy;Children love eating candies.
trolley;gb;shopping cart;trolley;I left the store with a trolley full of item.
ace;au;excellent or great;ace;That’s ace, mate!
amber fluid;au;beer;amber fluid;They do not sell amber fluid here.
Aussie;au;Australian;aussie;I’m quite proud to be Aussie.
barbie;au;barbecue;barbie;In Autralia, you can use your barbie year-round.
bathers;au;swimming costume;bathers;Don’t tell me you’ve forgotten you bathers again.
bloke;au;man or guy;bloke;Come on, bloke! It’ll be fun!
bogan;au;person who takes little pride in his appearance;bogan;This guy is a total bogan.
Izit?;za;Is that so?;izit;
loskop;za;loose head;loskop;
lekker;za;good;lekker;
babelaas;za;hangover;babelaas;
jol;za;party;jol;
muti;za;medication;muti;
robot;za;trafic light;robot;
brinjal;in;purple egg-shaped fruit eaten as a vegetable;brinjal;Brinjal is the main ingredient of many Indian dishes.
to pass out;in;to graduate;to pass out;
foreign-returned;in;returned to India after living in a foreign country;foreign-returned;
convent-educated;in;studied in a school that uses English;convent-educated;
to be sitting on smbdy’s head;in;to stress out smbdy;to be sitting on smbdy’s head;
to eat smbdy’s brain;in;not to stop talking;to eat smbdy’s brain;
Sho?;za;Is that so?;sho;
boozer;au;a pub;boozer;I was told there is a nice boozer down the street.
brekkie;au;breakfast;brekkie;I had eggs and tomato on toast for brekkie today.
cactus;au;dead or not functioning;cactus;My laptop is totally cactus, mate.
chewie;au;chewing gum;chewie;They had no chewie left at the store.
chokkie;au;chocolate;chokkie;This candy shop is heaven for a chokkie freak like me!
chook;au;chicken, also used as a nice insult;chook;You bloody chook!
Chrissie;au;Christmas;chrissie;What did you get for Chrissie?
click;au;kilometer;click;The nearest store is three clicks away.
cobber;au;friend;cobber;G’day, cobber!
cockie;au;farmer;cockie;Most cockies lose money on farming but gain money on government subsidies.
coldie;au;a beer;coldie;Let’s grab a coldie together tonight.
cozzie;au;swimming costume;cozzie;Have you brought your cozzie?
cranky;au;in a bad mood or angry;cranky;She is feeling a bit cranky today, isn’t she?
dag;au;a funny person or a nerd;dag;I’m a bit of a dag today. Look at what I’m wearing.
daks;au;trousers;daks;I always make sure I have a pressed pair of daks for the first day back after the holidays
digger;au;soldier;digger;Those Aussie diggers are tough in combat.
cunning as a dunny rat;au;very cunning;cunning as a dunny rat;That guy is cunning as a dunny rat.
